,property_id,lat,lng,addr_street,suburb,price,property_type,year,bedrooms,bathrooms,parking_space,shopping_center_id,distance_to_sc,train_station_id,distance_to_train_station,travel_min_to_CBD,transfer_flag,hospital_id,distance_to_hospital,supermarket_id,distance_to_supermaket
1791,88084,-37.940016,145.043514,13 Ashlar Road,Moorabbin,8085000,house,2015,3,2,1,SC_046,457,19937,866,38,0,hospital_110,974,S_069,1037
1792,88184,-37.93633,145.049706,3 Otford Close,Moorabbin,9620000,house,2016,3,1,1,SC_046,1058,19937,1159,38,0,hospital_110,1190,S_069,1614
1793,88193,-37.943118,145.051596,32 Isabella Street,Moorabbin,8602000,house,2015,3,1,1,SC_079,1140,19872,1038,39,0,hospital_110,1715,S_069,1141
1794,88209,-37.935578,145.045519,4 Ronald Street,Moorabbin,15600000,house,2013,2,1,1,SC_046,766,19937,782,38,0,hospital_110,816,S_069,1558
1795,88246,-37.936092,145.055791,532 South Road,Moorabbin,6525000,house,2015,3,1,1,SC_046,1578,19937,1683,38,0,hospital_110,1701,S_069,1943
1796,88416,-37.953858,145.043681,11 Jackson Road,Highett,12530000,house,2015,4,2,1,SC_079,573,19872,625,39,0,hospital_082,1366,S_069,573
1797,88475,-37.954433,145.042709,14 Graham Road,Highett,10400000,house,2014,4,1,1,SC_079,607,19872,672,39,0,hospital_082,1407,S_069,607
1798,88548,-37.945946,145.047175,176A Wickham Road,Highett,7403000,house,2013,2,1,2,SC_079,642,19872,541,39,0,hospital_110,1700,S_069,642
1799,88558,-37.953126,145.02895,18 Highland Avenue,Highett,9020000,house,2011,3,2,2,SC_079,1153,19872,1249,39,0,hospital_058,1288,S_214,1046
1800,88608,-37.946425,145.027935,2/2 Fuge Street,Highett,9632000,house,2016,3,1,1,SC_079,1191,19872,1243,39,0,hospital_110,1679,S_214,521
1801,88681,-37.951327,145.023921,24 Lansell Avenue,Highett,9072000,house,2013,3,1,2,SC_079,1525,19872,1608,39,0,hospital_058,1218,S_214,676
1802,88702,-37.9492276,145.0336232,25 Rose Street,Highett,8400000,house,2012,4,3,2,SC_079,653,19872,729,39,0,hospital_110,1821,S_069,653
1803,88712,-37.949954,145.036765,27 Albert Street,Highett,16500000,house,2015,2,1,2,SC_079,388,19872,479,39,0,hospital_110,1881,S_069,388
1804,88837,-37.946926,145.028785,389 Highett Road,Highett,11152000,house,2013,2,1,1,SC_079,1106,19872,1160,39,0,hospital_110,1696,S_214,607
1805,88858,-37.954546,145.05574,4 Stanton Street,Highett,10285000,house,2010,3,1,2,SC_079,1421,19866,1351,36,0,hospital_082,665,S_023,547
1806,88882,-37.949673,145.05059,42 Rowans Road,Highett,7140000,house,2013,3,1,1,SC_079,837,19872,777,39,0,hospital_082,1319,S_069,837
